,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
3.5.3.-,239,932,179,472,0,119,648,564,99,60,3,151,179,63,96,91,31,311,38,100,103,90,36,47,50,104,177
1.1.1.326,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
3.1.3.96,23,59,6,114,0,115,88,98,11,7,1,58,4,0,4,2,6,49,4,35,46,87,15,60,11,76,101
3.5.1.107,0,1,6,3,0,3,0,22,347,108,75,6,700,1,1,25,14,8,67,0,2,3,4,19,1,2,5
2.3.1.46,477,176,60,394,0,442,181,178,172,86,306,450,279,79,673,37,492,169,304,134,19,137,3,421,95,153,414
2.4.99.16,29,156,130,126,0,102,114,77,53,1,8,9,49,0,315,32,299,35,40,36,23,62,57,72,54,428,179
2.7.4.25,5,97,2,608,0,6,68,38,42,26,1,10,30,1,2,0,159,19,122,1096,2,336,84,13,21,194,50
3.2.1.84,0,0,0,0,0,0,2,7,11,0,0,0,0,0,0,0,6,0,0,5,0,2,0,0,0,0,41
1.1.1.64,0,0,1,61,0,21,3,8,12,0,53,8,35,2,0,0,20,8,1,3,6,10,3,6,0,0,0
2.1.1.100,89,342,30,86,63,220,42,51,127,19,589,49,339,253,459,2092,1069,104,373,51,31,30,3,22,73,13,15
1.2.99.7,246,685,279,5902,24,2910,3497,3005,433,463,337,1085,708,24,101,2,298,400,442,217,117,683,225,77,94,369,1244
3.5.2.-,1337,1385,284,1733,153,2669,2227,1917,525,326,503,492,250,66,637,107,317,534,1445,187,357,303,549,267,195,345,487
1.5.1.36,2590,47539,729,3925,5090,15906,7335,9190,1657,680,3576,1155,682,784,475,607,1412,3288,1373,949,1373,788,639,2297,1500,629,1309
3.2.1.70,479,2879,146,783,0,1359,1572,509,1484,439,809,283,458,331,71,382,745,1000,386,105,71,147,35,219,94,424,137
3.4.22.50,31,0,0,9,0,17,14,14,4,33,2,10,0,49,1,11,44,17,2,14,0,14,0,2,11,13,106
1.1.1.328,0,0,0,0,0,0,4,10,4,4,0,0,4,1,0,0,0,2,0,7,0,0,0,1,1,0,0
3.1.31.1,56,17,4,25,1,27,12,21,5,5,18,11,4,0,1,0,27,6,50,17,2,46,1,23,10,6,88
2.4.2.14,129,41,47,143,0,0,33,111,131,81,228,155,268,0,146,27,94,53,240,39,81,54,63,17,16,25,134
2.1.2.2,1,235,11,1189,0,259,190,259,116,106,28,226,83,13,46,14,28,324,515,72,103,143,88,13,13,65,390
5.3.1.16,4,168,19,51,66,35,537,66,21,6,45,21,2,2,1,2,75,41,0,14,29,40,38,15,3,164,16
1.1.1.338,2,0,1,1,0,24,0,2,0,0,1,4,0,0,0,0,3,4,0,6,0,0,0,1,0,0,1
1.4.3.-,73,75,72,35,58,99,56,15,74,45,7,276,37,30,13,279,256,55,55,72,38,82,182,156,129,47,370
3.2.2.23,17,627,27,37,1,331,150,152,3,1,47,71,27,36,0,2,7,33,1,28,21,8,0,52,22,5,22
3.1.3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.4.1.246,0,19,4,0,0,2,25,50,4,23,0,28,61,1,1,3,55,30,67,22,14,12,0,16,3,16,65
4.1.2.21,12,14,11,9,0,3,3,14,29,4,1,24,4,2,3,1,18,14,4,9,1,16,0,14,1,11,3
2.7.1.58,5,0,23,4,0,6,11,4,3,1,20,56,17,3,18,18,35,20,6,13,2,10,10,62,1,7,1
1.14.12.12,1,0,12,0,0,0,0,0,0,16,0,6,45,1,0,1,1,8,0,3,0,1,0,0,0,0,13
1.17.1.-,181,221,153,384,0,117,127,61,91,144,1,26,43,46,13,45,136,317,245,47,17,83,49,39,9,14,165
4.4.1.26,0,0,0,0,0,0,1,0,5,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2.3.1.57,2,353,14,156,170,44,116,105,145,5,1,80,45,6,3,2,21,167,11,143,223,62,57,121,44,7,164
1.4.1.18,8,0,9,6,0,1,3,2,2,12,0,13,0,0,2,0,34,1,0,7,8,7,0,12,8,0,42
5.1.1.1,2,22,4,4,2,39,5,0,1,0,0,24,4,0,3,51,24,14,2,31,1,22,0,43,12,4,4
1.1.1.46,2,0,20,0,0,2,0,0,2,0,4,0,52,0,4,1,2,6,0,2,0,5,0,0,1,6,0
3.4.23.49,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
