,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
5.4.99.19,1,210,40,23,120,50,96,39,71,6,5,47,51,11,11,18,41,95,53,27,9,41,0,48,11,12,103
1.1.1.40,2303,10307,1042,2990,22,1240,2913,2239,3037,2115,1445,1388,2774,738,1239,631,1190,3345,1234,1249,708,990,586,1054,479,964,1673
1.15.1.1,3807,14305,2051,9138,323,8337,9057,6679,6339,2252,8556,7609,5732,2314,5740,3707,13299,5854,5723,1746,1218,1728,1451,2863,1540,3626,4687
2.6.1.2,480,2525,371,1162,470,4250,2304,1486,912,618,1273,924,318,615,398,809,991,1116,332,386,269,331,273,664,281,468,405
4.3.1.17,1722,4502,832,3006,633,2422,8722,2133,1714,843,1192,2093,1256,341,562,688,2098,1766,1316,1186,811,1003,691,1683,476,1426,1527
3.5.1.1,1519,4557,1666,2959,146,3369,3287,2047,2132,688,900,1320,1508,924,1328,2115,3359,4570,3688,2714,402,1935,481,1932,599,1015,1526
2.1.1.-,22277,52155,13247,48813,2596,49666,38429,34465,25405,11350,26400,15530,26957,12008,41266,16489,54561,25475,26575,16781,12236,17512,13360,12782,19376,14437,26648
5.2.1.8,12388,36203,11531,30907,1467,21393,21455,18636,14396,7430,15631,8889,16920,12298,28640,15117,53985,17749,16485,9081,37000,8583,13138,8969,7334,14759,15997
2.7.-.-,3625,5081,1542,5559,616,6490,5976,6118,3737,2139,2308,3286,2239,1549,5048,2109,7402,4071,5144,2562,1640,2378,1711,2339,1275,2662,4223
3.6.3.-,41564,46329,25369,67194,3531,82190,52686,57034,34867,15976,40273,35043,45260,15659,67694,26944,106719,38624,53640,22981,15284,27170,10416,19963,11992,20248,38417
2.1.1.72,8732,9827,5754,8794,1302,11443,6920,6628,3357,3099,3112,3939,3796,1206,2858,1746,5636,5969,4434,3156,1680,3087,2035,3545,1388,3424,7090
3.1.21.3,2177,6890,1581,4725,135,4008,5449,3898,2420,1428,1453,2970,1495,749,1683,1169,5568,2700,2502,1908,1529,1557,1689,2188,1159,1469,3327
3.4.-.-,32804,94832,14115,77067,3680,60007,60677,48139,28365,14592,22835,35131,19089,12277,47573,18861,51968,40984,35446,19871,12617,15974,9395,14360,12656,21910,35099
2.4.2.8,3488,5801,1911,6854,2874,9431,7121,5880,3846,2400,3443,2102,1417,1855,6722,1554,4338,3366,5369,1684,1357,1607,1235,1187,828,2819,4473
2.7.1.31,396,663,590,1232,149,1636,1575,1291,505,269,468,888,546,334,274,162,878,1014,638,862,218,942,455,2157,146,480,724
1.1.1.22,1813,4482,2625,2255,116,1828,3892,1810,967,835,487,1390,898,2157,16507,2955,10539,3035,7347,1150,866,1294,1329,951,872,1316,1689
3.5.1.28,4164,11752,4004,20452,546,98768,13254,14163,11699,4179,12622,8431,11553,9670,8001,9502,14993,17908,12630,4867,6047,5329,2358,2336,2030,5792,14372
3.4.23.43,0,0,0,23,0,1,8,0,133,74,0,159,31,2,0,61,0,75,2,9,1,3,1,25,2,0,107
2.7.1.24,42,258,203,549,0,36,67,60,106,81,2,100,53,78,7,21,45,208,157,43,33,47,0,32,6,98,71
2.7.7.n1,1751,2174,1314,4241,5,11273,4706,4563,2094,1473,628,1494,1384,1050,695,1708,2991,2215,2524,1407,592,1252,562,662,557,1412,4569
6.3.4.14,1856,7258,530,7269,48,3169,2850,3634,1451,744,727,2085,955,444,478,577,1207,2744,1067,1044,978,1000,873,1422,488,1731,2515
4.2.1.10,1,0,34,8,0,37,20,1,1,0,0,54,1,19,0,0,5,9,0,3,1,3,1,37,5,30,41
1.3.99.22,445,3751,149,947,78,460,1102,611,310,281,154,394,329,231,98,381,327,893,306,146,212,207,223,158,66,369,443
5.4.99.62,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7.1.15,5816,5407,4230,1874,5028,7677,1951,1388,1074,1303,873,824,1051,448,1289,602,1294,885,703,635,341,691,239,467,194,534,822
2.4.-.-,19151,34935,8225,31348,1506,31243,18015,16784,14517,6308,19813,9673,12380,5771,19467,9867,25828,14162,20434,11758,4695,10470,4581,7033,4056,9841,20880
1.4.1.4,1124,2748,1328,5033,716,10256,4298,3441,1610,661,2104,1626,1807,8884,3616,4545,8452,6043,3167,1663,518,1829,463,1368,797,3159,2857
1.11.1.6,1826,2155,807,1045,436,7197,3110,2164,5304,946,7624,2121,1791,533,650,619,4937,1309,1715,245,49,189,50,823,316,355,566
2.7.7.7,24264,43740,13012,38405,2682,35263,27880,24172,20729,9255,21422,15699,31673,8738,31467,12399,42111,20325,25043,13393,6926,12241,6082,11724,6170,13805,22027
6.2.1.3,15506,12759,5989,10227,382,12733,5777,6872,4900,2452,9290,4241,10286,3394,18881,6390,17611,5037,8521,5942,2145,4408,1989,3761,1956,4266,8894
1.17.4.2,4014,11535,2341,18521,1674,12323,6879,9376,8433,5559,15990,5354,3947,1958,5569,2934,10440,7186,6532,5328,4540,3555,3851,3711,1857,5425,5723
1.97.1.-,827,2017,447,3778,50,1135,1045,3543,2876,898,1472,8304,5718,271,350,253,1073,1680,2140,835,1040,661,415,459,179,468,735
3.4.16.4,6997,8163,9077,18306,830,24160,10724,11078,19015,34663,6733,5464,8898,2855,16373,4809,12986,6418,8764,5483,1742,5835,3216,2614,2831,5200,11659
1.1.1.100,2537,10659,1853,15611,698,8537,7958,19002,7092,5737,2972,7379,9043,5558,10836,3492,7405,13124,12584,5636,3437,5068,4450,4076,1475,4437,7324
2.3.1.39,2948,3654,1170,6754,325,6732,3668,3787,1399,669,2167,1963,1470,782,1144,1222,2140,3069,1544,1927,871,1720,724,1157,425,1917,3801
2.3.1.47,754,11460,489,3102,2,959,2691,1467,1233,565,225,953,700,261,378,967,1848,2313,1176,2006,1661,1420,982,784,257,1309,2349
4.1.1.65,0,75,0,123,0,0,17,9,7,22,45,20,2,0,0,0,3,73,0,10,6,5,18,9,6,1,20
1.5.1.3,519,2315,277,1343,133,1318,1113,967,839,354,1452,602,524,525,2155,700,1401,959,1387,605,395,451,438,335,414,316,755
2.7.4.9,270,772,1145,710,84,2342,487,496,189,192,143,139,179,220,78,152,89,332,7,96,80,122,86,292,36,407,546
1.1.-.-,1487,1579,2595,1580,239,2332,7720,5692,2317,694,3731,1657,9552,1050,9883,1841,14417,2131,5076,891,736,4571,843,1611,1056,1953,1189
5.3.1.22,5,7,31,81,1,334,290,917,20,25,2,58,59,1,78,36,62,20,7,48,22,39,15,39,9,77,115
3.1.3.74,105,95,265,2175,0,838,369,1048,431,176,57,456,149,60,222,133,219,693,505,345,176,219,190,83,54,325,713
2.7.1.56,1213,2004,1466,4177,237,3003,2978,2393,1490,606,1749,1366,4606,613,398,435,3805,1818,1078,1121,317,1007,589,426,403,1008,1836
2.7.8.8,722,2764,309,1578,0,1374,1134,1010,1056,513,570,456,794,396,109,249,615,890,1425,540,131,468,114,430,124,420,713
4.1.2.13,9778,13877,3036,47502,492,20427,17623,21023,18004,4096,4204,24134,13466,2508,6095,2630,15439,17241,10463,5957,3251,6911,3531,2401,2105,11442,13033
3.1.1.5,786,1571,41,607,158,461,458,487,242,70,76,141,139,61,100,145,202,486,72,154,35,156,101,189,57,274,454
3.1.3.-,7019,10303,5254,11283,540,17614,8646,7978,6395,5105,9755,4505,6310,3343,16164,5793,13346,6742,8847,4318,2150,4155,4916,3862,2356,3541,6913
2.2.1.6,7037,9509,6158,11155,1018,16136,10434,8904,6742,3122,15147,5250,13576,4228,20160,5536,28724,6284,12983,4282,2164,5698,2044,5830,2708,8450,9145
4.3.1.19,815,1831,716,753,153,1889,1075,745,717,415,395,558,862,593,872,404,1161,714,561,401,207,382,243,548,264,676,851
5.1.3.1,1037,4362,515,3350,151,3780,1758,1795,1222,694,961,940,777,449,1359,468,1326,1218,1067,1395,1598,1200,448,535,207,730,1487
4.6.1.12,0,43,0,0,0,0,3,1,9,0,2,15,17,0,0,0,0,14,1,1,0,5,0,6,0,1,2
2.-.-.-,10104,19393,4626,10848,1639,11540,9078,8496,6835,3476,9589,5906,7539,2306,8073,3504,15074,5480,8679,6146,1995,4952,1706,15231,2445,4525,7666
2.3.1.15,12,59,26,290,0,6,13,21,212,2,5,76,141,1,6,0,51,445,4,27,8,22,2,24,1,91,29
3.1.4.46,2097,2997,2575,1727,237,2198,2227,1885,1377,853,978,1637,849,896,1492,905,1892,1117,922,789,209,565,208,2455,610,1109,1473
2.1.1.228,51,309,55,551,0,173,234,136,243,95,69,133,186,32,37,20,107,426,52,215,14,105,21,381,30,205,190
3.4.11.9,17696,12188,53255,11144,658,4944,19730,8205,4532,3344,3174,702815,1639,1800,6177,45278,310497,233841,99058,101402,5086,204256,12301,1111037,45188,145273,672890
6.3.3.2,2851,3096,1030,1381,138,2966,1096,1134,2541,1790,1764,498,1264,307,1588,696,3278,801,912,874,293,551,299,826,1038,678,1029
5.4.99.23,455,799,660,678,4,384,503,221,209,108,11,308,133,54,9,78,383,384,397,207,124,201,88,512,138,333,738
1.-.-.-,40057,42457,19951,41316,2879,46013,32290,32592,23773,12161,24369,20413,45689,91253,1065581,113159,222799,30322,240398,16138,7174,17843,7029,12886,20422,14184,22631
1.8.1.7,3456,5395,2198,1714,327,5025,4038,1366,2582,3116,9047,1797,1893,2269,2754,4557,7151,2310,854,770,211,566,171,1118,501,897,1048
4.2.3.4,0,71,4,142,0,41,9,5,72,0,1,44,35,0,1,12,25,171,151,13,0,7,0,41,1,85,123
3.6.1.55,1173,1603,794,1413,263,4602,1642,1560,1069,539,1391,853,983,947,5132,1409,4004,996,1693,780,277,767,191,568,372,394,679
3.6.1.41,5,333,26,18,1,51,362,111,46,0,47,24,2,109,2,30,16,66,3,18,34,13,1,38,4,13,4
4.3.2.2,3854,6816,2053,5586,599,4924,4569,4002,2942,1520,4065,3668,5438,1040,1827,1133,5248,3414,3378,2872,1324,1880,1476,2212,728,1956,5498
1.1.1.284,511,3006,229,381,94,529,471,657,277,65,1423,1060,2570,35,385,251,1854,169,212,319,21,299,26,1093,138,411,538
3.1.2.12,42,954,61,162,0,150,249,138,3,2,1,109,63,14,1,7,44,13,72,46,2,17,1,54,5,64,15
1.8.5.3,162,164,96,60,86,120,48,60,129,146,63,133,78,15,30,12,109,75,159,225,119,120,205,225,23,39,122
4.2.1.24,1266,7228,2063,2355,112,2409,2986,1443,1434,397,615,1235,555,627,1018,606,1571,1885,1203,746,324,774,273,1202,335,1181,2095
3.1.3.5,3132,5821,1454,4421,387,12970,3678,3962,2962,3011,5647,1542,3252,966,3729,1280,5292,3543,5691,1941,881,1499,1594,1426,978,2170,2591
3.6.1.-,1295,2972,1474,3460,423,38159,2271,6424,2543,4702,1233,958,1325,1050,3532,2210,5199,2668,3625,7727,601,5665,1419,722,586,881,2793
3.1.3.7,66,54,41,147,1,71,33,61,34,6,78,91,73,55,104,2,92,88,7,53,13,61,8,27,12,74,30
3.1.1.31,698,709,409,535,557,913,613,543,334,138,182,226,281,239,235,242,332,327,153,367,65,311,43,226,56,275,173
3.1.-.-,21575,32497,23939,49321,3261,65494,40292,39141,23282,14714,16260,16477,22757,15747,65955,17091,56695,29265,37559,17674,14147,17779,10306,11860,7502,12783,29154
1.1.1.44,4526,6311,2578,2756,308,4136,4387,3326,3130,847,16184,2036,5598,2591,15523,3961,12601,2417,7277,1573,548,1276,297,1389,1073,2086,1372
2.3.1.179,5482,16094,1931,10559,309,9580,7680,5712,5397,2845,11206,4876,4453,2083,3902,1666,7199,7226,4774,3808,2048,3372,1770,4175,1080,6063,6934
2.3.1.41,921,1769,413,1143,334,693,1160,696,615,437,195,527,366,371,1463,495,1483,1007,1442,465,184,480,49,513,223,483,781
3.1.2.-,5208,9779,4519,3846,270,6036,4207,3727,2942,1688,3072,1303,3802,1688,3356,1713,8578,3945,3217,2038,1035,1996,544,1253,652,1534,2699
1.13.12.7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2.1.12,62,629,151,244,60,170,501,155,225,129,231,609,70,68,44,69,306,208,69,151,3729,221,7467,594,230,325,455
1.3.1.9,676,7757,465,3486,246,1211,1398,2068,1223,299,116,667,473,754,261,251,573,1302,1212,1138,236,652,219,845,116,1596,1279
4.1.2.50,192,320,119,301,123,396,243,185,328,182,279,148,270,14,169,85,201,198,351,132,39,121,10,131,33,257,147
6.1.1.6,57,507,43,656,0,178,366,368,347,471,170,184,142,245,11,40,142,279,552,140,195,137,270,222,151,409,593
1.1.1.-,4112,14437,3548,24638,530,28538,23318,18308,5966,3005,6511,10579,6516,2617,4866,2787,8140,8638,7557,5098,1902,5730,2518,3848,1863,7028,9287
1.5.1.20,1502,2976,1966,1744,350,3553,2542,2482,997,495,5898,1069,3165,609,2345,660,5572,1369,1750,781,312,885,236,1239,533,2321,3917
3.4.21.107,5831,7747,1745,21909,1291,13953,9737,9074,21726,3861,14758,5585,7548,2525,9647,3485,8690,4712,8111,4352,2179,3508,2838,1878,1397,3471,7789
2.6.1.42,4311,10230,2951,15396,1092,14766,7417,7705,4082,1188,3036,3398,4461,2121,7506,3284,10206,6252,5223,2732,3252,2743,4518,2159,1069,6136,4914
1.1.1.37,3741,3702,810,3040,3,9568,2143,1753,2305,299,3866,664,1486,718,1803,800,4694,922,1948,893,42,719,49,676,316,537,312
3.4.24.-,23325,84931,10726,47418,5678,38950,56258,36778,29118,44594,54084,21091,22193,15884,24773,22814,47758,47015,33638,19776,31118,17114,47889,10865,53961,29091,81089
3.1.3.6,338,336,96,521,0,222,219,168,131,112,188,259,137,32,74,6,117,232,12,146,58,117,32,178,33,160,262
2.7.13.3,110232,94746,44185,62897,6121,93308,49739,49787,30503,22063,67561,58336,58934,23148,127995,51672,154923,44564,68744,38817,14023,40439,15624,116070,19248,39138,113636
6.3.4.5,2,668,51,75,0,22,184,92,3,1,2,50,7,61,13,21,19,40,27,22,190,19,138,42,333,55,56
2.7.1.49,1286,537,848,1001,360,2657,777,906,794,483,1412,306,582,474,4954,1164,4305,501,1970,501,131,470,148,881,391,197,667
3.4.21.-,13359,42448,11720,39350,2647,28707,23200,33173,34990,17153,14036,17080,27587,6934,17485,9482,39345,21639,23574,14234,8631,15445,8094,17691,7594,16702,35459
5.3.1.8,2419,3830,2052,3098,161,8655,3220,2423,1782,1289,913,1392,1123,1208,1526,538,2599,1907,2326,1116,707,1143,374,669,524,1044,2002
5.1.3.2,2541,4677,1535,9130,277,7630,6179,5559,3834,2090,1923,3845,2465,1111,3636,1759,4985,4181,3576,2860,1056,2558,920,2366,1568,2715,3359
3.5.2.17,0,1,16,3,0,2,5,7,0,1,1,16,55,22,0,12,4,8,5,6,1,15,0,8,0,2,4
1.6.1.2,564,1968,700,755,207,402,668,1185,924,136,1206,864,1125,415,405,765,1728,966,916,526,96,934,174,925,373,1038,1127
2.5.1.48,315,736,308,586,2,1091,1343,775,563,338,520,293,533,74,332,171,707,1105,1019,111,65,178,54,182,57,421,401
5.4.99.24,502,455,177,1243,2,473,182,912,1118,571,294,1890,933,146,521,157,224,559,1535,479,149,318,99,886,148,376,789
1.8.1.8,131,1455,112,471,114,415,1105,438,478,170,60,417,283,301,134,232,165,530,143,143,162,140,156,169,55,109,411
2.5.1.90,242,1783,423,518,5,561,1097,781,252,189,214,398,391,403,184,356,238,435,429,200,54,160,129,297,99,396,465
1.14.13.-,346,1522,321,250,87,344,629,461,330,89,281,239,279,279,481,286,209,485,269,294,112,333,207,380,83,277,360
4.4.1.5,661,2168,145,5305,101,1537,1880,2184,925,373,502,2132,1013,330,546,398,1040,1006,294,399,413,355,300,645,245,985,1301
3.6.1.67,26,73,5,31,66,44,33,25,10,1,0,39,1,0,1,0,0,31,1,6,1,26,26,7,1,26,55
1.10.3.-,17202,11703,13477,8791,1079,7919,5510,5493,9899,2322,48259,3648,21462,5007,41165,8986,41992,4805,16549,2786,683,4052,996,2285,3576,6052,15335
2.3.1.128,1037,2042,483,1013,137,2419,1289,1150,578,342,977,446,245,237,674,343,761,754,252,482,314,429,389,324,279,757,1062
2.3.1.-,15830,27632,10009,18078,1668,47311,17136,13461,9803,5264,7687,10646,8957,7087,12332,8899,17827,14767,10715,7855,4194,7312,4965,12943,5623,6120,14665
2.6.1.9,149,34,273,126,50,51,86,350,194,27,237,55,275,40,234,184,687,117,140,98,30,208,5,35,89,89,166
3.6.1.25,659,991,563,497,2,273,349,570,434,128,714,237,1898,145,197,93,903,303,362,230,294,371,456,112,111,128,356
5.4.99.28,111,150,66,366,28,704,182,208,123,57,52,116,194,160,86,125,209,234,172,259,42,230,46,106,36,61,258
2.4.1.-,14615,19903,12871,10770,1209,13117,17150,12840,11622,3527,31381,6884,42303,4461,20703,9988,42831,12148,8972,6276,1298,7837,1794,9951,4045,4649,13195
3.5.1.-,9615,8791,8293,4618,1145,5889,6260,7045,7411,1109,29452,2218,42047,3542,19945,8905,49944,3786,8737,2257,845,3180,1003,2337,3462,2344,3341
2.1.1.171,172,147,143,413,8,347,581,308,165,64,51,366,353,142,798,136,591,228,351,128,52,202,41,472,81,143,268
6.1.1.2,2739,641,693,2656,3,2105,1488,1801,1331,403,1276,552,1694,254,725,460,1969,689,1373,959,282,885,388,188,174,553,1413
3.6.1.1,4531,792,446,967,0,1786,443,595,450,286,1165,219,771,436,4761,496,3928,517,1096,237,106,417,91,175,206,286,210
5.4.2.8,2512,1640,2515,2745,119,7819,3165,3120,4084,730,16802,1158,13289,1820,4857,1828,9057,2096,4364,1931,600,3029,758,443,760,2249,1881
3.6.4.12,28851,72337,22850,41589,4351,66172,32326,33363,23051,13498,27564,21161,30257,15517,43534,17804,46625,27073,34959,18964,20588,15961,26389,17552,21088,15643,29523
3.1.3.82,151,40,55,295,0,167,124,56,33,119,36,51,283,52,44,4,71,161,222,93,233,91,89,28,12,24,65
1.3.5.4,1298,2679,1669,5964,211,2229,3172,4179,1398,1277,1097,2771,7481,772,2121,783,2244,2480,2038,3301,625,2597,551,3109,427,2053,5224
1.3.5.1,5156,8907,2651,10989,451,7918,5534,7002,7673,5885,15419,5508,7637,3078,24781,6116,14471,5469,24421,3202,1325,4696,2232,1214,2756,5149,6572
1.1.1.1,1526,13910,924,3153,1285,6927,10735,5881,4695,719,1416,2474,1269,874,4017,1322,3282,4741,2307,1953,1716,1696,1813,2274,1336,3274,5546
3.6.1.13,1291,3273,788,2761,10,3646,2069,2033,2004,645,1226,1248,1536,571,1430,758,2362,2054,1897,1747,520,1407,480,2407,621,1122,1277
5.4.99.20,9,296,71,73,0,49,47,66,70,1,57,20,95,33,81,1,12,106,3,22,10,25,3,99,3,67,86
3.4.13.18,2073,23358,1435,10903,570,8093,24382,9989,8777,3144,2209,3593,3143,2203,1789,2251,5321,14692,3440,3255,1751,3436,1596,1452,1071,4526,6182
3.2.2.20,196,205,634,110,248,355,487,176,150,68,139,231,421,465,782,280,666,199,623,207,28,112,15,282,219,159,279
2.7.1.33,91,93,15,416,0,90,75,160,82,147,41,105,66,94,3,107,38,179,7,91,29,81,48,18,2,121,157
4.2.2.n1,2118,11125,1424,5086,1159,18496,5350,8062,1693,1248,2924,2027,1794,1059,1725,1524,3268,3182,3604,1157,601,1071,702,1497,1556,2099,2331
2.7.7.12,58,1283,232,411,15,538,467,387,308,85,96,146,64,65,110,137,118,502,138,216,93,172,85,273,25,162,144
5.1.3.3,642,2234,222,997,152,953,1062,1120,1648,1091,698,670,1306,204,204,213,1693,1259,645,342,98,406,230,709,149,319,678
4.1.3.6,2545,4202,1099,6854,39,2781,2589,3919,1843,844,1488,1190,1187,157,862,522,2909,1928,1429,760,474,645,551,805,406,1054,1258
6.2.1.22,187,1880,84,163,204,173,186,192,101,32,95,102,402,0,133,57,61,84,8,70,37,56,34,203,131,84,428
2.7.4.6,220,80,302,32,1,245,169,247,328,148,1302,55,448,43,55,38,466,69,290,41,30,89,14,101,133,1335,375
3.2.1.52,1077,14591,907,3584,191,2786,3396,3046,1545,1116,642,1292,1571,694,895,788,1137,2647,1345,4168,741,3392,867,1320,760,1623,2224
3.1.3.25,4128,4821,2573,1383,610,4767,2828,2473,2934,1550,5641,1334,5403,1118,3739,1302,6458,1530,1369,779,189,1037,197,1026,563,585,784
2.7.1.48,106,496,125,224,0,62,109,82,63,14,158,60,99,171,2209,554,1281,163,268,56,14,51,5,36,75,51,14
3.1.26.-,921,3480,741,1704,0,705,1648,1360,1105,790,410,756,821,314,284,251,501,1447,548,386,764,556,707,455,165,933,703
2.7.8.5,911,1658,531,3060,3,1281,1250,1219,651,244,623,777,962,510,2323,929,2698,853,1226,498,172,596,97,434,153,492,657
4.4.1.8,1939,3948,1299,5484,197,5382,4183,3762,3125,1066,2729,1990,1991,1492,2112,1889,4230,2723,3040,1615,797,1472,688,863,408,2092,3333
3.6.4.-,11141,9689,13944,15345,1139,27142,13195,15398,8639,6866,10067,6747,14135,3966,13952,5350,19204,9386,11765,7902,3701,7840,7204,6818,2715,6494,11482
2.8.1.-,28,48,0,29,0,28,13,7,5,0,3,14,8,0,0,0,6,9,0,4,0,3,0,52,0,2,22
3.6.1.7,1005,1122,720,696,2,10342,472,866,221,219,800,113,689,996,11140,1754,3984,661,2256,197,101,347,47,77,315,264,336
2.2.1.1,5869,9448,3119,15113,1206,9439,9421,9867,7321,3177,3780,6686,7541,1364,2958,3709,10965,6979,8923,5037,2761,4764,3345,3318,1446,3926,5564
2.8.1.7,3122,8150,2769,4992,575,5998,5882,5744,3942,1545,6566,3099,16425,1318,6419,2569,13209,2869,4721,2299,873,1923,1203,2123,1349,2067,2837
1.6.99.-,1626,3914,3969,2986,717,3153,3234,4390,2672,746,5787,1269,5972,3107,17080,3449,21034,2287,5563,1883,1867,2445,678,1270,1736,1836,1575
1.11.1.5,170,436,180,178,51,45,97,50,77,4,116,118,81,117,573,50,125,130,233,169,60,78,33,210,250,311,660
5.1.3.15,263,324,401,553,45,2224,896,1020,1339,252,308,337,546,249,1679,455,951,588,1064,213,352,204,172,105,93,94,339
1.8.1.9,2906,8364,2002,13100,96,8078,10809,11906,5165,2763,3275,4904,4606,1912,9418,6526,17588,5222,9303,3530,1527,2668,1554,2950,1897,4209,5541
5.4.99.-,4530,9832,3296,7848,1367,7462,7215,5892,4427,2792,6471,5845,3748,2163,6527,3393,11084,5479,4771,3591,2000,3143,1907,5967,1637,3064,8244
5.4.2.11,27,0,0,34,0,7,0,0,0,2,0,19,1,12,0,0,0,4,0,37,1,18,1,0,0,0,2
6.3.2.17,3227,4149,2356,5199,372,5560,4136,3913,2195,1007,2090,1252,2889,2007,5937,2002,6655,2865,3066,2072,925,1644,517,1378,919,2643,3525
3.1.11.6,1,15,19,88,0,101,80,64,29,1,5,26,14,27,2,0,29,44,10,59,42,35,24,0,25,0,132
2.5.1.10,263,1987,158,853,335,2163,1273,1050,1364,679,682,636,216,473,302,144,543,894,251,349,494,287,458,441,314,353,651
4.1.2.40,319,623,283,442,0,970,792,852,214,100,157,270,54,292,287,341,319,303,425,535,1665,1616,1040,334,102,41,232
1.18.1.2,653,919,704,326,259,1507,1512,577,363,221,193,578,466,202,150,128,168,619,202,173,55,127,40,297,182,284,320
3.1.21.5,289,1099,145,697,24,660,571,582,179,67,86,290,226,147,327,150,484,559,172,370,382,388,276,439,167,338,627
6.1.1.3,44,59,21,118,0,86,42,16,48,47,0,80,92,22,83,12,42,89,2,48,26,31,18,48,38,75,36
1.6.99.3,3553,16135,1803,11397,2250,26328,10336,7511,6082,5524,5069,5767,2390,2326,2707,2301,5526,6089,2865,1670,1753,1392,1402,3348,829,2810,4406
1.1.5.3,2536,1775,632,1039,43,488,1194,1039,964,327,3043,589,1153,233,2380,414,1703,585,976,809,174,829,179,459,568,542,993
5.4.99.22,2489,3176,6577,4028,9,2676,2153,2484,2978,1011,3002,1220,943,796,807,836,8219,2125,2310,1434,693,1296,669,652,776,980,1939
1.8.1.4,6027,24207,5387,20890,1558,29114,27317,15483,15735,3621,4910,10284,6143,3512,5445,4694,8293,15302,5119,3746,1625,4477,1536,5670,2308,10353,8297
2.3.1.12,5158,25446,2280,10424,558,9689,13709,8791,5255,2273,2618,5719,4210,2591,8086,3861,6887,8416,4737,1524,750,2085,840,3949,1386,5300,4260
1.2.4.1,7608,46950,7009,14064,1318,13669,19624,12182,7502,2552,13767,8270,7478,5319,16907,7004,19854,11343,6331,2590,1834,3282,1730,4865,2574,7834,6175
2.4.1.1,14335,63431,4623,47587,488,50501,32811,24827,13413,4777,10265,12916,11865,6294,12343,6802,17855,19316,16592,10504,4845,10108,5588,13413,3512,12560,18245
2.4.1.25,13765,10240,6923,34425,283,27185,20055,20304,17469,7528,12059,12041,8285,6485,19076,6366,15742,19415,18173,6973,3221,7639,3057,3132,1955,8494,11292
2.3.1.8,2979,12772,3919,10503,776,8018,11406,8160,3773,1749,2119,2964,3302,1774,6285,3791,7375,7250,4756,2725,5112,2785,5882,2254,850,4369,3456
3.1.7.2,446,1987,559,2083,247,1926,2026,1380,1309,733,507,771,787,356,354,246,526,1235,415,276,518,391,463,583,320,1166,942
2.7.4.8,53,65,43,193,0,181,44,69,104,4,62,95,89,2,5,21,69,115,119,156,27,74,86,55,20,43,131
1.14.11.-,202,216,74,682,1,157,55,63,239,151,91,232,123,53,25,66,97,261,116,117,4,102,8,247,84,58,104
6.3.1.2,7538,9126,4404,15264,334,14799,8558,9216,5911,2030,4026,7046,6469,4786,27184,7653,33018,8693,15605,5181,2730,4780,1806,3535,2187,8479,7482
3.4.21.72,5,35,64,9,0,10,25,5,14,29,4,20,46,3,4,42,48,29,8,43,10,30,4,28,17,29,15
1.11.1.15,6869,52590,5020,32285,739,14822,24098,18846,15819,8020,14948,14596,12831,2551,7837,3435,22753,10226,10279,4120,5741,3162,5340,5265,2734,9665,9944
2.4.2.12,5,2,2,274,0,6,16,7,27,1,2,44,43,20,0,37,18,27,3,24,0,31,10,58,31,15,58
4.2.3.1,4066,2311,3114,3096,1063,10394,2560,2650,1105,1161,879,1007,1517,1458,6578,2751,7280,2186,4082,1758,1847,1421,1215,761,488,1211,2371
2.7.8.-,9768,5424,3719,6257,669,7554,5644,4197,3662,2224,3150,2270,3625,5724,41404,11525,30782,4003,15030,2675,911,2136,912,1794,2033,2443,3922
1.3.99.-,6768,9886,5357,10884,532,12585,10521,10080,6718,4015,7256,6084,5709,2713,8475,3889,8460,6495,6456,3419,2296,3410,3564,3208,1869,4284,7497
1.1.1.95,2061,6223,1308,5057,87,4871,2442,3060,1831,911,1125,1974,1996,532,1525,874,3154,2589,2280,1696,2160,2171,1391,1374,661,2226,4295
3.2.1.20,743,449,577,428,3,208,211,177,203,216,39,379,345,166,790,560,861,335,362,762,80,680,43,746,264,308,613
2.5.1.47,1478,7077,1614,9698,364,10958,6554,4338,2676,1252,1454,3351,1541,1048,2345,2205,4515,5701,2624,1147,2305,1042,3324,1284,715,6867,5664
5.1.3.24,0,0,0,41,0,0,18,9,1,0,24,1,0,0,0,34,12,33,1,9,0,6,17,0,0,14,0
5.1.3.9,2,104,0,26,1,17,83,42,122,34,0,28,36,23,0,31,4,79,23,17,0,13,0,41,1,12,36
4.1.3.3,101,360,837,514,1,299,334,210,159,115,28,3882,183,78,147,543,3386,2341,1532,4339,230,6030,633,33573,1193,4243,14883
1.11.1.-,3646,19543,2386,5194,6251,10745,8507,6411,3221,1170,6628,2647,5384,2270,4254,2732,7766,4081,3570,1243,1427,1374,1325,1866,1141,3029,2788
3.6.4.13,4430,2759,2734,2695,239,6550,4072,2767,2318,1828,1860,10213,2511,1779,5568,2433,5531,2831,5010,2364,531,2086,700,9796,805,1734,6090
